Student_ID,Gender,Study_Hours_per_Week,Attendance_Rate,Past_Exam_Scores,Parental_Education_Level,Internet_Access_at_Home,Extracurricular_Activities,Final_Exam_Score,Pass_Fail
S437,Female,25,88.54556885,87,High School,No,No,61,Pass
S179,Male,29,75.30519782,77,Masters,No,No,61,Pass
S339,Female,38,91.82824066,64,PhD,Yes,Yes,61,Pass
S244,Male,20,88.92859695,89,PhD,No,Yes,61,Pass
S244,Male,20,88.92859695,89,PhD,No,Yes,61,Pass
S142,Male,21,74.91238489,96,High School,No,No,61,Pass
S437,Female,25,88.54556885,87,High School,No,No,61,Pass
S417,Male,30,84.15919282,77,Masters,Yes,No,61,Pass
S313,Female,30,95.63747314,78,High School,Yes,No,61,Pass
S339,Female,38,91.82824066,64,PhD,Yes,Yes,61,Pass
S059,Male,11,92.10457075,95,Masters,Yes,No,62,Pass
S207,Female,20,89.07572409,92,Bachelors,Yes,Yes,62,Pass
S207,Female,20,89.07572409,92,Bachelors,Yes,Yes,62,Pass
S207,Female,20,89.07572409,92,Bachelors,Yes,Yes,62,Pass
S228,Female,35,76.59287398,67,Bachelors,No,No,62,Pass
S367,Female,13,94.37302413,69,PhD,No,Yes,62,Pass
S119,Female,30,55.24345833,98,Bachelors,No,No,62,Pass
S465,Female,31,67.57700806,96,PhD,No,Yes,62,Pass
S130,Female,17,82.44114201,98,PhD,No,Yes,62,Pass
S119,Female,30,55.24345833,98,Bachelors,No,No,62,Pass
S446,Male,21,71.85966982,98,High School,Yes,No,62,Pass
S465,Female,31,67.57700806,96,PhD,No,Yes,62,Pass
S423,Female,28,70.2624044,99,PhD,No,Yes,62,Pass
S446,Male,21,71.85966982,98,High School,Yes,No,62,Pass
S446,Male,21,71.85966982,98,High School,Yes,No,62,Pass
S119,Female,30,55.24345833,98,Bachelors,No,No,62,Pass
S446,Male,21,71.85966982,98,High School,Yes,No,62,Pass
S207,Female,20,89.07572409,92,Bachelors,Yes,Yes,62,Pass
S207,Female,20,89.07572409,92,Bachelors,Yes,Yes,62,Pass
S301,Male,35,60.27899042,83,Masters,No,No,62,Pass
S130,Female,17,82.44114201,98,PhD,No,Yes,62,Pass
S309,Female,29,74.0418489,90,Masters,No,Yes,62,Pass
S367,Female,13,94.37302413,69,PhD,No,Yes,62,Pass
S367,Female,13,94.37302413,69,PhD,No,Yes,62,Pass
S465,Female,31,67.57700806,96,PhD,No,Yes,62,Pass
S228,Female,35,76.59287398,67,Bachelors,No,No,62,Pass
S228,Female,35,76.59287398,67,Bachelors,No,No,62,Pass
S301,Male,35,60.27899042,83,Masters,No,No,62,Pass
S147,Male,31,68.26784098,86,High School,Yes,Yes,63,Pass
S419,Female,37,76.48308393,82,High School,No,Yes,63,Pass
S211,Male,10,91.25663383,85,Bachelors,Yes,Yes,63,Pass
S099,Female,22,93.41505535,88,High School,No,No,63,Pass
S200,Male,27,96.64690335,65,Bachelors,No,No,63,Pass
S353,Male,14,94.87152049,74,Masters,Yes,Yes,63,Pass
S147,Male,31,68.26784098,86,High School,Yes,Yes,63,Pass
S023,Female,35,60.36138245,93,Bachelors,No,No,63,Pass
S409,Female,21,84.94229266,90,Masters,Yes,Yes,63,Pass
S126,Female,39,61.66082058,98,Bachelors,Yes,No,63,Pass
S023,Female,35,60.36138245,93,Bachelors,No,No,63,Pass
S353,Male,14,94.87152049,74,Masters,Yes,Yes,63,Pass
S409,Female,21,84.94229266,90,Masters,Yes,Yes,63,Pass
S095,Female,32,75.58285068,86,Masters,Yes,Yes,63,Pass
S095,Female,32,75.58285068,86,Masters,Yes,Yes,63,Pass
S147,Male,31,68.26784098,86,High School,Yes,Yes,63,Pass
S218,Male,22,84.14910317,100,High School,Yes,Yes,63,Pass
S218,Male,22,84.14910317,100,High School,Yes,Yes,63,Pass
S419,Female,37,76.48308393,82,High School,No,Yes,63,Pass
S217,Female,38,79.41533379,94,High School,No,No,63,Pass
S200,Male,27,96.64690335,65,Bachelors,No,No,63,Pass
S099,Female,22,93.41505535,88,High School,No,No,63,Pass
S095,Female,32,75.58285068,86,Masters,Yes,Yes,63,Pass
S353,Male,14,94.87152049,74,Masters,Yes,Yes,63,Pass
S200,Male,27,96.64690335,65,Bachelors,No,No,63,Pass
S211,Male,10,91.25663383,85,Bachelors,Yes,Yes,63,Pass
S409,Female,21,84.94229266,90,Masters,Yes,Yes,63,Pass
S353,Male,14,94.87152049,74,Masters,Yes,Yes,63,Pass
S409,Female,21,84.94229266,90,Masters,Yes,Yes,63,Pass
S489,Male,27,99.02884001,85,High School,Yes,Yes,64,Pass
S329,Female,20,59.22314357,96,Bachelors,No,Yes,64,Pass
S097,Female,29,68.86429826,92,High School,No,No,64,Pass
S370,Male,28,90.26574837,74,PhD,No,Yes,64,Pass
S097,Female,29,68.86429826,92,High School,No,No,64,Pass
S370,Male,28,90.26574837,74,PhD,No,Yes,64,Pass
S394,Female,10,67.25960724,96,Masters,No,Yes,64,Pass
S486,Female,19,87.95179228,100,High School,No,No,64,Pass
S280,Female,39,89.50423186,67,PhD,No,Yes,64,Pass
S328,Male,38,76.75348595,70,Bachelors,No,No,64,Pass
S280,Female,39,89.50423186,67,PhD,No,Yes,64,Pass
S403,Male,33,99.26836561,90,High School,Yes,Yes,64,Pass
S478,Female,38,98.10493929,60,Masters,Yes,No,64,Pass
S394,Female,10,67.25960724,96,Masters,No,Yes,64,Pass
S328,Male,38,76.75348595,70,Bachelors,No,No,64,Pass
S328,Male,38,76.75348595,70,Bachelors,No,No,64,Pass
S370,Male,28,90.26574837,74,PhD,No,Yes,64,Pass
S329,Female,20,59.22314357,96,Bachelors,No,Yes,64,Pass
S097,Female,29,68.86429826,92,High School,No,No,64,Pass
S115,Male,39,51.52360764,92,Masters,No,No,64,Pass
S172,Male,32,85.54762394,97,Bachelors,No,Yes,64,Pass
S157,Male,39,99.86277674,83,Masters,No,No,64,Pass
S157,Male,39,99.86277674,83,Masters,No,No,64,Pass
S310,Female,36,95.92273625,88,High School,Yes,No,64,Pass
S489,Male,27,99.02884001,85,High School,Yes,Yes,64,Pass
S113,Female,35,92.22203363,95,Masters,No,Yes,64,Pass
S486,Female,19,87.95179228,100,High School,No,No,64,Pass
S486,Female,19,87.95179228,100,High School,No,No,64,Pass
S400,Male,37,88.98793874,74,Bachelors,Yes,Yes,64,Pass
S097,Female,29,68.86429826,92,High School,No,No,64,Pass
S393,Female,16,91.53272533,95,PhD,Yes,Yes,64,Pass
S403,Male,33,99.26836561,90,High School,Yes,Yes,64,Pass
S115,Male,39,51.52360764,92,Masters,No,No,64,Pass
S329,Female,20,59.22314357,96,Bachelors,No,Yes,64,Pass
S489,Male,27,99.02884001,85,High School,Yes,Yes,64,Pass
S310,Female,36,95.92273625,88,High School,Yes,No,64,Pass
S490,Male,36,95.16819063,94,Masters,No,Yes,64,Pass
S280,Female,39,89.50423186,67,PhD,No,Yes,64,Pass
S393,Female,16,91.53272533,95,PhD,Yes,Yes,64,Pass
S328,Male,38,76.75348595,70,Bachelors,No,No,64,Pass
S310,Female,36,95.92273625,88,High School,Yes,No,64,Pass
S394,Female,10,67.25960724,96,Masters,No,Yes,64,Pass
S400,Male,37,88.98793874,74,Bachelors,Yes,Yes,64,Pass
S328,Male,38,76.75348595,70,Bachelors,No,No,64,Pass
S280,Female,39,89.50423186,67,PhD,No,Yes,64,Pass
S486,Female,19,87.95179228,100,High School,No,No,64,Pass
S385,Male,37,82.14627818,60,PhD,No,No,64,Pass
S370,Male,28,90.26574837,74,PhD,No,Yes,64,Pass
S310,Female,36,95.92273625,88,High School,Yes,No,64,Pass
S329,Female,20,59.22314357,96,Bachelors,No,Yes,64,Pass
S172,Male,32,85.54762394,97,Bachelors,No,Yes,64,Pass
S149,Male,38,92.54087589,60,PhD,Yes,Yes,64,Pass
S458,Female,27,92.07648302,99,Bachelors,No,No,65,Pass
S044,Female,34,80.8631856,94,PhD,No,Yes,65,Pass
S458,Female,27,92.07648302,99,Bachelors,No,No,65,Pass
S375,Male,36,97.22048628,93,Masters,Yes,Yes,65,Pass
S216,Male,21,65.80982911,92,Bachelors,Yes,No,65,Pass
S387,Male,35,95.53120018,66,High School,Yes,No,65,Pass
S300,Female,28,87.21248259,75,Bachelors,No,No,65,Pass
S375,Male,36,97.22048628,93,Masters,Yes,Yes,65,Pass
S402,Female,34,78.288831,87,High School,Yes,Yes,65,Pass
S216,Male,21,65.80982911,92,Bachelors,Yes,No,65,Pass
S223,Female,28,76.9890531,81,Bachelors,Yes,Yes,65,Pass
S223,Female,28,76.9890531,81,Bachelors,Yes,Yes,65,Pass
S024,Female,26,93.91103337,94,High School,No,No,65,Pass
S016,Male,24,86.3060422,91,High School,Yes,Yes,65,Pass
S016,Male,24,86.3060422,91,High School,Yes,Yes,65,Pass
S387,Male,35,95.53120018,66,High School,Yes,No,65,Pass
S496,Male,31,79.41318785,67,Bachelors,No,Yes,65,Pass
S017,Female,31,87.8540601,88,Masters,Yes,No,65,Pass
S017,Female,31,87.8540601,88,Masters,Yes,No,65,Pass
S458,Female,27,92.07648302,99,Bachelors,No,No,65,Pass
S294,Female,21,91.87453945,96,Masters,Yes,Yes,65,Pass
S402,Female,34,78.288831,87,High School,Yes,Yes,65,Pass
S188,Male,13,84.22857739,100,Masters,Yes,Yes,65,Pass
S083,Male,37,67.38096072,86,High School,Yes,No,65,Pass
S338,Male,26,68.88629737,87,Bachelors,Yes,Yes,65,Pass
S044,Female,34,80.8631856,94,PhD,No,Yes,65,Pass
S300,Female,28,87.21248259,75,Bachelors,No,No,65,Pass
S017,Female,31,87.8540601,88,Masters,Yes,No,65,Pass
S024,Female,26,93.91103337,94,High School,No,No,65,Pass
S188,Male,13,84.22857739,100,Masters,Yes,Yes,65,Pass
S375,Male,36,97.22048628,93,Masters,Yes,Yes,65,Pass
S307,Female,21,96.14801159,84,Bachelors,Yes,No,65,Pass
S375,Male,36,97.22048628,93,Masters,Yes,Yes,65,Pass
S456,Male,35,76.99213895,81,PhD,No,No,65,Pass
S044,Female,34,80.8631856,94,PhD,No,Yes,65,Pass
S294,Female,21,91.87453945,96,Masters,Yes,Yes,65,Pass
S017,Female,31,87.8540601,88,Masters,Yes,No,65,Pass
S307,Female,21,96.14801159,84,Bachelors,Yes,No,65,Pass
S132,Male,30,79.20997424,84,Masters,No,Yes,65,Pass
S188,Male,13,84.22857739,100,Masters,Yes,Yes,65,Pass
S456,Male,35,76.99213895,81,PhD,No,No,65,Pass
S307,Female,21,96.14801159,84,Bachelors,Yes,No,65,Pass
S307,Female,21,96.14801159,84,Bachelors,Yes,No,65,Pass
S380,Male,39,81.66203875,97,Bachelors,Yes,Yes,66,Pass
S380,Male,39,81.66203875,97,Bachelors,Yes,Yes,66,Pass
S399,Female,34,98.72736326,94,Bachelors,No,Yes,66,Pass
S380,Male,39,81.66203875,97,Bachelors,Yes,Yes,66,Pass
S160,Female,21,95.86978065,58,Bachelors,Yes,Yes,66,Pass
S297,Female,37,61.36978104,100,High School,Yes,No,66,Pass
S160,Female,21,95.86978065,58,Bachelors,Yes,Yes,66,Pass
S399,Female,34,98.72736326,94,Bachelors,No,Yes,66,Pass
S160,Female,21,95.86978065,58,Bachelors,Yes,Yes,66,Pass
S360,Male,31,77.58612976,99,Masters,Yes,No,66,Pass
S116,Female,32,93.36074905,83,Masters,No,No,66,Pass
S160,Female,21,95.86978065,58,Bachelors,Yes,Yes,66,Pass
S399,Female,34,98.72736326,94,Bachelors,No,Yes,66,Pass
S380,Male,39,81.66203875,97,Bachelors,Yes,Yes,66,Pass
S399,Female,34,98.72736326,94,Bachelors,No,Yes,66,Pass
S195,Male,37,89.7144725,94,Masters,Yes,Yes,66,Pass
S360,Male,31,77.58612976,99,Masters,Yes,No,66,Pass
S360,Male,31,77.58612976,99,Masters,Yes,No,66,Pass
S399,Female,34,98.72736326,94,Bachelors,No,Yes,66,Pass
S360,Male,31,77.58612976,99,Masters,Yes,No,66,Pass
S297,Female,37,61.36978104,100,High School,Yes,No,66,Pass
S380,Male,39,81.66203875,97,Bachelors,Yes,Yes,66,Pass
S104,Female,28,96.20208796,83,High School,No,Yes,67,Pass
S445,Female,15,91.85394954,93,Bachelors,No,Yes,67,Pass
S034,Female,32,98.39868827,64,PhD,Yes,No,67,Pass
S355,Female,28,90.03748857,78,Masters,Yes,No,67,Pass
S061,Male,31,53.31179889,98,Bachelors,No,No,67,Pass
S032,Male,38,65.38886199,93,PhD,No,No,67,Pass
S235,Female,11,84.68588037,88,Bachelors,No,Yes,67,Pass
S235,Female,11,84.68588037,88,Bachelors,No,Yes,67,Pass
S445,Female,15,91.85394954,93,Bachelors,No,Yes,67,Pass
S034,Female,32,98.39868827,64,PhD,Yes,No,67,Pass
S032,Male,38,65.38886199,93,PhD,No,No,67,Pass
S355,Female,28,90.03748857,78,Masters,Yes,No,67,Pass
S347,Male,27,88.26781405,64,PhD,Yes,Yes,67,Pass
S104,Female,28,96.20208796,83,High School,No,Yes,67,Pass
S056,Female,24,84.88209357,81,Bachelors,No,Yes,67,Pass
S201,Male,12,99.54647382,89,Masters,No,No,67,Pass
S445,Female,15,91.85394954,93,Bachelors,No,Yes,67,Pass
S235,Female,11,84.68588037,88,Bachelors,No,Yes,67,Pass
S201,Male,12,99.54647382,89,Masters,No,No,67,Pass
S235,Female,11,84.68588037,88,Bachelors,No,Yes,67,Pass
S061,Male,31,53.31179889,98,Bachelors,No,No,67,Pass
S347,Male,27,88.26781405,64,PhD,Yes,Yes,67,Pass
S032,Male,38,65.38886199,93,PhD,No,No,67,Pass
S061,Male,31,53.31179889,98,Bachelors,No,No,67,Pass
S032,Male,38,65.38886199,93,PhD,No,No,67,Pass
S032,Male,38,65.38886199,93,PhD,No,No,67,Pass
S183,Female,35,68.46152408,99,PhD,Yes,No,67,Pass
S347,Male,27,88.26781405,64,PhD,Yes,Yes,67,Pass
S355,Female,28,90.03748857,78,Masters,Yes,No,67,Pass
S235,Female,11,84.68588037,88,Bachelors,No,Yes,67,Pass
S235,Female,11,84.68588037,88,Bachelors,No,Yes,67,Pass
S303,Male,25,80.18607659,83,High School,No,No,67,Pass
S355,Female,28,90.03748857,78,Masters,Yes,No,67,Pass
S303,Male,25,80.18607659,83,High School,No,No,67,Pass
S183,Female,35,68.46152408,99,PhD,Yes,No,67,Pass
S057,Female,37,89.82358878,84,High School,No,Yes,68,Pass
S435,Female,31,91.90534816,88,Masters,Yes,No,68,Pass
S042,Male,35,90.25223338,82,High School,Yes,Yes,68,Pass
S156,Female,23,84.84807312,74,PhD,No,Yes,68,Pass
S103,Female,39,76.8295323,62,Masters,Yes,Yes,68,Pass
S042,Male,35,90.25223338,82,High School,Yes,Yes,68,Pass
S371,Female,38,99.4364391,79,Masters,Yes,Yes,68,Pass
S029,Female,31,74.90825933,89,PhD,Yes,No,68,Pass
S042,Male,35,90.25223338,82,High School,Yes,Yes,68,Pass
S156,Female,23,84.84807312,74,PhD,No,Yes,68,Pass
S371,Female,38,99.4364391,79,Masters,Yes,Yes,68,Pass
S103,Female,39,76.8295323,62,Masters,Yes,Yes,68,Pass
S447,Male,33,95.77568386,89,Masters,Yes,No,69,Pass
S249,Male,30,87.73176459,84,PhD,No,Yes,69,Pass
S140,Male,32,80.37776111,87,High School,No,No,69,Pass
S447,Male,33,95.77568386,89,Masters,Yes,No,69,Pass
S140,Male,32,80.37776111,87,High School,No,No,69,Pass
S063,Male,34,81.04028422,93,High School,No,No,69,Pass
S454,Female,35,74.1877471,88,PhD,Yes,No,69,Pass
S256,Male,33,76.99303186,90,High School,Yes,Yes,69,Pass
S063,Male,34,81.04028422,93,High School,No,No,69,Pass
S447,Male,33,95.77568386,89,Masters,Yes,No,69,Pass
S078,Female,37,98.65551746,63,Masters,No,Yes,70,Pass
S101,Male,37,79.86390411,73,PhD,No,Yes,70,Pass
S101,Male,37,79.86390411,73,PhD,No,Yes,70,Pass
S101,Male,37,79.86390411,73,PhD,No,Yes,70,Pass
S078,Female,37,98.65551746,63,Masters,No,Yes,70,Pass
S101,Male,37,79.86390411,73,PhD,No,Yes,70,Pass
S066,Female,38,78.98249672,96,Masters,No,No,71,Pass
S162,Male,35,98.75335815,89,Bachelors,Yes,No,71,Pass
S139,Male,38,94.98236986,84,PhD,Yes,No,71,Pass
S494,Female,33,83.49587323,100,PhD,No,No,71,Pass
S066,Female,38,78.98249672,96,Masters,No,No,71,Pass
S066,Female,38,78.98249672,96,Masters,No,No,71,Pass
S324,Female,35,98.77706578,66,Masters,No,Yes,71,Pass
S324,Female,35,98.77706578,66,Masters,No,Yes,71,Pass
S139,Male,38,94.98236986,84,PhD,Yes,No,71,Pass
S162,Male,35,98.75335815,89,Bachelors,Yes,No,71,Pass
S162,Male,35,98.75335815,89,Bachelors,Yes,No,71,Pass
S494,Female,33,83.49587323,100,PhD,No,No,71,Pass
S066,Female,38,78.98249672,96,Masters,No,No,71,Pass
S283,Female,34,88.56233343,96,Bachelors,Yes,Yes,72,Pass
S198,Female,33,87.29872628,73,Masters,No,Yes,72,Pass
S283,Female,34,88.56233343,96,Bachelors,Yes,Yes,72,Pass
S283,Female,34,88.56233343,96,Bachelors,Yes,Yes,72,Pass
S205,Female,38,86.07982754,90,Masters,Yes,No,72,Pass
S198,Female,33,87.29872628,73,Masters,No,Yes,72,Pass
S205,Female,38,86.07982754,90,Masters,Yes,No,72,Pass
S198,Female,33,87.29872628,73,Masters,No,Yes,72,Pass
S169,Male,39,91.92912794,87,High School,No,No,73,Pass
S208,Female,14,91.39704436,94,High School,No,Yes,73,Pass
S169,Male,39,91.92912794,87,High School,No,No,73,Pass
S241,Female,30,99.8846308,98,Masters,Yes,No,74,Pass
S241,Female,30,99.8846308,98,Masters,Yes,No,74,Pass
S412,Female,38,82.25270839,95,Bachelors,No,No,76,Pass
S327,Male,32,93.03160089,78,Bachelors,Yes,Yes,77,Pass
S327,Male,32,93.03160089,78,Bachelors,Yes,Yes,77,Pass
S327,Male,32,93.03160089,78,Bachelors,Yes,Yes,77,Pass
S034,Female,34,97.38392,91,High School,No,Yes,79,Pass
S035,male,18,83.28383,80,Masters,Yes,Yes,79,Pass
S033,Female,20,78.38273,94,Masters,Yes,No,81,Pass
S030,Male,9,67.73738,77,Masters,Yes,YES,82,Pass
S031,Male,14,75.83883,95,Masters,Yes,Yes,82,Pass
S032,Male,17,84.84733,90,Graduate,Yes,No,82,Pass
S029,Male,24,70.89695,80,Graduate,Yes,No,85,Pass
S028,Female,16,76.45447,93,High School,Yes,Yes,86,Pass
S026,Male,7,69.79549,64,Graduate,Yes,Yes,87,Pass
S027,Female,12,73.98373,70,High School,Yes,No,87,Pass
S013,Male,19,72.95864,80,Masters,Yes,No,89,Pass
S025,Female,14,75.697955,78,High School,No,No,89,Pass
S024,Male,21,80.58382,70,Graduate,Yes,Yes,91,Pass
S023,Male,25,99.30232,90,Masters,Yes,No,94,Pass
S021,Male,21,70.59484,87,Masters,Yes,Yes,95,Pass
S022,Female,18,90.87537,78,Graduate,No,No,95,Pass
S018,Male,21,75.67677,94,Masters,Yes,Yes,97,Pass
S019,Male,25,98.56474,79,Masters,Yes,Yes,97,Pass
S015,Female,16,90.54655,86,Masters,Yes,Yes,98,Pass
S017,Female,16,83.45754,96,High School,Yes,No,98,Pass
S020,Female,15,83.34322,97,Bachelors,Yes,No,98,Pass
S014,Male,23,86.54363,89,High School,Yes,No,99,Pass
S016,Female,14,83.90585,86,High School,No,Yes,99,Pass
S012,Female,18,89.69585,77,Bachelors,Yes,Yes,100,Pass
